num_target(1);num_target(2);num_target(3);num_target(4);num_target(5);   la; isd; niter;     tex; te_acc;
         2; 6; 6; 6; 3;   0.0;   1;     1;  0.0757;   99.2;
         2; 6; 6; 6; 3;   0.0;   2;     1;  0.0062;    0.8;
         2; 6; 6; 6; 3;   0.0;   3;     1;  0.0790;   99.2;
         2; 6; 6; 6; 3;   1.0;   1;   693; 11.9529;   99.2;
         2; 6; 6; 6; 3;   1.0;   2;     1;  0.0030;    0.8;
         2; 6; 6; 6; 3;   1.0;   3;    35;  1.0659;   99.2;
         2; 6; 6; 6; 3;  10.0;   1;    68;  1.6174;   99.2;
         2; 6; 6; 6; 3;  10.0;   2;     1;  0.0048;    0.8;
         2; 6; 6; 6; 3;  10.0;   3;    26;  0.9041;   99.2;
         2; 1; 6; 1; 1;   0.0;   1;     1;  0.0805;   99.4;
         2; 1; 6; 1; 1;   0.0;   2;     1;  0.0049;    0.6;
         2; 1; 6; 1; 1;   0.0;   3;     1;  0.0633;   99.4;
         2; 1; 6; 1; 1;   1.0;   1;   380;  7.0564;   99.4;
         2; 1; 6; 1; 1;   1.0;   2;     1;  0.0035;    0.6;
         2; 1; 6; 1; 1;   1.0;   3;     7;  0.2703;   99.4;
         2; 1; 6; 1; 1;  10.0;   1;    41;  1.1230;   99.4;
         2; 1; 6; 1; 1;  10.0;   2;     1;  0.0046;    0.6;
         2; 1; 6; 1; 1;  10.0;   3;    26;  0.9219;   99.4;
         2; 1; 6; 1; 1;   0.0;   1;     1;  0.0658;   99.4;
         2; 1; 6; 1; 1;   0.0;   2;     1;  0.0032;    0.6;
         2; 1; 6; 1; 1;   0.0;   3;     1;  0.0566;   99.4;
         2; 1; 6; 1; 1;   1.0;   1;   380;  7.0135;   99.4;
         2; 1; 6; 1; 1;   1.0;   2;     1;  0.0031;    0.6;
         2; 1; 6; 1; 1;   1.0;   3;     7;  0.2708;   99.4;
         2; 1; 6; 1; 1;  10.0;   1;    41;  1.0303;   99.4;
         2; 1; 6; 1; 1;  10.0;   2;     1;  0.0038;    0.6;
         2; 1; 6; 1; 1;  10.0;   3;    26;  0.8496;   99.4;
         2; 1; 6; 1; 1;   0.0;   1;     1;  0.0561;   99.4;
         2; 1; 6; 1; 1;   0.0;   2;     1;  0.0034;    0.6;
         2; 1; 6; 1; 1;   0.0;   3;     1;  0.0578;   99.4;
         2; 1; 6; 1; 1;   1.0;   1;   380;  6.6620;   99.4;
         2; 1; 6; 1; 1;   1.0;   2;     1;  0.0037;    0.6;
         2; 1; 6; 1; 1;   1.0;   3;     7;  0.2751;   99.4;
         2; 1; 6; 1; 1;  10.0;   1;    41;  1.1175;   99.4;
         2; 1; 6; 1; 1;  10.0;   2;     1;  0.0039;    0.6;
         2; 1; 6; 1; 1;  10.0;   3;    26;  0.9157;   99.4;
         2; 1; 6; 1; 1;   0.0;   1;     1;  0.0638;   99.4;
         2; 1; 6; 1; 1;   0.0;   2;     1;  0.0035;    0.6;
         2; 1; 6; 1; 1;   0.0;   3;     1;  0.0580;   99.4;
         2; 1; 6; 1; 1;   1.0;   1;   380;  6.8328;   99.4;
         2; 1; 6; 1; 1;   1.0;   2;     1;  0.0036;    0.6;
         2; 1; 6; 1; 1;   1.0;   3;     7;  0.2681;   99.4;
         2; 1; 6; 1; 1;  10.0;   1;    41;  1.0835;   99.4;
         2; 1; 6; 1; 1;  10.0;   2;     1;  0.0036;    0.6;
         2; 1; 6; 1; 1;  10.0;   3;    26;  0.8305;   99.4;
         2; 1; 6; 1; 1;   0.0;   1;     1;  0.0562;   99.4;
         2; 1; 6; 1; 1;   0.0;   2;     1;  0.0031;    0.6;
